sample_id,label,start_mean,middle_mean,end_mean
0,1,0.7429548,0.61904633,0.43585637
1,0,0.91889536,0.89078164,0.82759607
2,1,0.40436783,0.40396997,0.37695733
3,0,0.5343899,0.4357937,0.54927826
4,1,0.71060556,0.3903558,0.15725376
5,1,0.63092107,0.6620049,0.6101449
6,1,0.7107859,0.639455,0.5700949
7,1,0.82305026,0.7633766,0.71060735
8,0,0.8087005,0.7668808,0.7629757
9,0,0.58319736,0.43099883,0.18054038
10,0,0.51995105,0.47033584,0.4046356
11,1,0.62610096,0.56651974,0.46134278
12,1,0.8525526,0.88058996,0.86402196
13,0,0.52165806,0.44490674,0.42681086
14,0,0.79379255,0.59187603,0.4527263
15,1,0.5335784,0.38360256,0.2990766
16,1,0.069333605,0.08207523,0.0062503153
17,0,0.73781526,0.5917534,0.47297025
18,0,0.8527583,0.8120645,0.77139044
19,0,0.8670186,0.7799348,0.72527343
20,1,0.6260085,0.86292773,0.81561214
21,0,0.12737022,0.01382745,0.021209199
22,0,0.61343807,0.51276886,0.3120751
23,0,0.78303295,0.7347876,0.69807726
24,0,0.82627237,0.8184348,0.7825297
25,0,0.6458665,0.6173379,0.52077335
26,1,0.6391565,0.61526793,0.552292
27,0,0.45817867,0.36987856,0.28842488
28,1,0.80035365,0.7425883,0.72334296
29,0,0.3512248,0.32790616,0.29809707
30,1,0.7499315,0.6705665,0.69308066
31,0,0.33922777,0.557557,0.4467807
32,0,0.828721,0.80458313,0.80617976
33,1,0.79031485,0.7363418,0.70799565
34,0,0.5041035,0.4369303,0.37703437
35,1,0.7062277,0.54322016,0.5675502
36,1,0.8458253,0.8037708,0.77684647
37,0,0.35014376,0.25043818,0.1909227
38,0,0.11796028,0.15349013,0.24076703
39,1,0.72943676,0.6627918,0.54766273
40,1,0.7780039,0.68622416,0.6694242
41,0,0.39006868,0.18032224,0.041279346
42,0,0.7213728,0.71084964,0.67490745
43,1,0.7540056,0.710443,0.6232913
44,1,0.83435816,0.8132862,0.81269985
45,0,0.48687392,0.33781907,0.16145326
46,0,0.31095544,0.17857242,0.13731092
47,0,0.9022483,0.7267386,0.6377567
48,0,0.22161043,0.20266208,0.3315428
49,1,0.41273162,0.40931666,0.39760724
50,1,0.78123146,0.659352,0.5283935
51,1,0.84495145,0.88192004,0.846415
52,0,0.8382773,0.7743154,0.7180495
53,1,0.84366703,0.8231323,0.83975816
54,1,0.5442676,0.5301933,0.4387606
55,0,0.62258404,0.6109093,0.5097602
56,1,0.7195301,0.50893015,0.36848044
57,1,0.9939577,1.0,1.0
58,1,0.82884634,0.73692924,0.7489512
